objectId,time,value
1,2023-08-31 16:25:24,first
2,2023-08-31 16:25:24,first
3,2023-08-31 16:25:24,first
4,2023-08-31 16:25:24,first
5,2023-08-31 16:25:24,first
4,2023-08-31 16:25:32,last
13,2023-08-31 16:26:03,first
3,2023-08-31 16:26:08,last
14,2023-08-31 16:26:09,first
1,2023-08-31 16:26:23,last
16,2023-08-31 16:26:37,first
13,2023-08-31 16:27:31,last
19,2023-08-31 16:27:33,first
19,2023-08-31 16:29:25,last
22,2023-08-31 16:29:29,first
22,2023-08-31 16:29:39,last
25,2023-08-31 16:29:45,first
2,2023-08-31 16:29:53,last
5,2023-08-31 16:29:53,last
14,2023-08-31 16:29:53,last
16,2023-08-31 16:29:53,last
25,2023-08-31 16:29:53,last
