time,deviceName,mac,rssi
2023-08-31 16:25:24,1,11,-65
2023-08-31 16:25:24,2,22,-66
2023-08-31 16:25:24,3,33,-67
2023-08-31 16:25:24,4,44,-68
2023-08-31 16:25:24,5,55,-69
2023-08-31 16:25:32,1,11,-70
2023-08-31 16:25:32,2,22,-70
2023-08-31 16:25:32,3,33,-70
2023-08-31 16:25:32,4,44,-100
2023-08-31 16:25:32,5,55,-70
2023-08-31 16:26:03,1,11,-70
2023-08-31 16:26:03,2,22,-70
2023-08-31 16:26:03,3,33,-70
2023-08-31 16:26:03,4,44,-70
2023-08-31 16:26:03,5,55,-70
2023-08-31 16:26:08,1,11,-70
2023-08-31 16:26:08,2,22,-70
2023-08-31 16:26:08,3,33,-70
2023-08-31 16:26:08,4,44,-70
2023-08-31 16:26:08,5,55,-70
2023-08-31 16:26:09,1,11,-70
2023-08-31 16:26:09,2,22,-70
2023-08-31 16:26:09,3,33,-70
2023-08-31 16:26:09,4,44,-70
2023-08-31 16:26:09,5,55,-70
2023-08-31 16:26:23,1,11,-70
2023-08-31 16:26:23,2,22,-70
2023-08-31 16:26:23,3,33,-70
2023-08-31 16:26:23,4,44,-70
2023-08-31 16:26:23,5,55,-70
2023-08-31 16:26:37,1,11,-70
2023-08-31 16:26:37,2,22,-70
2023-08-31 16:26:37,3,33,-70
2023-08-31 16:26:37,4,44,-70
2023-08-31 16:26:37,5,55,-70
2023-08-31 16:27:31,1,11,-70
2023-08-31 16:27:31,2,22,-70
2023-08-31 16:27:31,3,33,-70
2023-08-31 16:27:31,4,44,-70
2023-08-31 16:27:31,5,55,-70
2023-08-31 16:27:33,1,11,-70
2023-08-31 16:27:33,2,22,-70
2023-08-31 16:27:33,3,33,-70
2023-08-31 16:27:33,4,44,-70
2023-08-31 16:27:33,5,55,-70
2023-08-31 16:29:25,1,11,-70
2023-08-31 16:29:25,2,22,-70
2023-08-31 16:29:25,3,33,-70
2023-08-31 16:29:25,4,44,-70
2023-08-31 16:29:25,5,55,-70
2023-08-31 16:29:29,1,11,-70
2023-08-31 16:29:29,2,22,-70
2023-08-31 16:29:29,3,33,-70
2023-08-31 16:29:29,4,44,-70
2023-08-31 16:29:29,5,55,-70
2023-08-31 16:29:39,1,11,-70
2023-08-31 16:29:39,2,22,-70
2023-08-31 16:29:39,3,33,-70
2023-08-31 16:29:39,4,44,-70
2023-08-31 16:29:39,5,55,-70
2023-08-31 16:29:45,1,11,-70
2023-08-31 16:29:45,2,22,-70
2023-08-31 16:29:45,3,33,-70
2023-08-31 16:29:45,4,44,-70
2023-08-31 16:29:45,5,55,-70
2023-08-31 16:29:53,1,11,-70
2023-08-31 16:29:53,2,22,-70
2023-08-31 16:29:53,3,33,-70
2023-08-31 16:29:53,4,44,-70
2023-08-31 16:29:53,5,55,-70
